llm_version,dataset,total_runs,script_rows,script_rate_pct,list_rows,list_rate_pct,model_error_rows,text_rows,format_follow_score,scenario_understanding_score,code_structure_score,model_hyperparam_score,turn0_score,turn1_score,turn2_score,turn3_score,overall_protocol_score,strict_protocol_pass_rate_pct,t0_format_follow_rate_pct,t1_format_follow_rate_pct,t2_format_follow_rate_pct,understands_blockwise_rate_pct,understands_retraining_rate_pct,understands_groundtruth_rate_pct,code_model_match_rate_pct,code_hyperparam_match_rate_pct
GPT55,ETTh1,4.0,4.0,100.0,0.0,0.0,0.0,0.0,100.0,75.0,80.56,100.0,100.0,100.0,82.14,86.54,88.89,0.0,100.0,100.0,100.0,25.0,75.0,75.0,100.0,100.0
GPT55,AirPassengers,36.0,36.0,100.0,0.0,0.0,0.0,0.0,100.0,73.89,80.87,100.0,100.0,100.0,81.35,86.06,88.69,0.0,100.0,100.0,100.0,16.67,58.33,94.44,100.0,100.0
GPT55,IceCreamHeater,36.0,36.0,100.0,0.0,0.0,0.0,0.0,100.0,70.56,79.32,100.0,100.0,100.0,78.97,85.69,87.47,0.0,100.0,100.0,100.0,25.0,52.78,75.0,100.0,100.0
GPT55,ILINet,36.0,36.0,100.0,0.0,0.0,0.0,0.0,100.0,65.0,81.48,100.0,100.0,100.0,75.0,87.18,86.62,0.0,100.0,100.0,100.0,25.0,44.44,55.56,100.0,100.0
ClaudeOpus47,AirPassengers,36.0,36.0,100.0,0.0,0.0,0.0,0.0,100.0,67.78,78.4,100.0,100.0,100.0,76.98,84.31,86.54,0.0,100.0,100.0,100.0,22.22,66.67,50.0,100.0,100.0
ClaudeOpus47,Temperature,36.0,36.0,100.0,0.0,0.0,0.0,0.0,99.07,66.11,79.94,100.0,100.0,99.07,75.4,86.11,86.28,0.0,100.0,100.0,100.0,22.22,66.67,41.67,100.0,100.0
ClaudeOpus47,ILINet,36.0,36.0,100.0,0.0,0.0,0.0,0.0,98.61,67.22,79.01,100.0,100.0,98.15,76.19,85.47,86.21,0.0,100.0,100.0,100.0,25.0,63.89,47.22,100.0,100.0
ClaudeOpus47,IceCreamHeater,36.0,36.0,100.0,0.0,0.0,0.0,0.0,100.0,64.44,80.25,100.0,100.0,100.0,74.6,86.33,86.17,0.0,100.0,100.0,100.0,19.44,44.44,58.33,100.0,100.0
Gemini31Pro,Temperature,36.0,36.0,100.0,0.0,0.0,0.0,0.0,100.0,64.44,77.16,100.0,100.0,100.0,74.6,84.19,85.4,0.0,100.0,100.0,100.0,16.67,66.67,38.89,100.0,100.0
Gemini31Pro,AirPassengers,36.0,36.0,100.0,0.0,0.0,0.0,0.0,100.0,62.78,77.47,100.0,100.0,100.0,73.41,83.59,85.06,0.0,100.0,100.0,100.0,16.67,47.22,50.0,100.0,100.0
GPT55,Temperature,36.0,36.0,100.0,0.0,0.0,0.0,0.0,100.0,63.89,75.31,100.0,100.0,100.0,74.2,82.91,84.8,0.0,100.0,100.0,100.0,16.67,41.67,61.11,100.0,100.0
Gemini31Pro,IceCreamHeater,36.0,36.0,100.0,0.0,0.0,0.0,0.0,100.0,57.78,77.47,100.0,100.0,100.0,69.84,84.4,83.81,0.0,100.0,100.0,100.0,5.56,63.89,19.44,100.0,100.0
KimiK26,AirPassengers,36.0,20.0,55.56,14.0,38.89,2.0,0.0,100.0,58.33,81.17,100.0,100.0,100.0,70.24,87.38,83.12,2.78,100.0,100.0,100.0,13.89,38.89,38.89,100.0,100.0
KimiK26,ILINet,36.0,36.0,100.0,0.0,0.0,0.0,0.0,95.83,58.33,76.55,100.0,100.0,93.52,69.44,83.76,82.68,0.0,100.0,100.0,100.0,25.0,44.44,22.22,100.0,100.0
Gemini31Pro,ETTh1,4.0,4.0,100.0,0.0,0.0,0.0,0.0,100.0,55.0,75.0,100.0,100.0,100.0,67.86,82.7,82.5,0.0,100.0,100.0,100.0,0.0,50.0,25.0,100.0,100.0
KimiK26,Temperature,36.0,31.0,86.11,3.0,8.33,0.0,2.0,100.0,57.78,75.62,98.92,100.0,100.0,69.84,83.98,81.96,2.78,100.0,100.0,100.0,22.22,41.67,25.0,100.0,96.77
ClaudeOpus47,ETTh1,4.0,4.0,100.0,0.0,0.0,0.0,0.0,91.66,65.0,69.45,100.0,100.0,100.0,67.85,78.85,81.53,0.0,100.0,100.0,100.0,25.0,75.0,25.0,100.0,100.0
KimiK26,IceCreamHeater,36.0,9.0,25.0,23.0,63.89,0.0,4.0,99.54,55.0,83.95,100.0,100.0,96.3,67.86,90.81,80.78,2.78,100.0,100.0,100.0,16.67,36.11,22.22,100.0,100.0
Gemini31Pro,ILINet,36.0,36.0,100.0,0.0,0.0,0.0,0.0,88.42,53.89,73.15,100.0,100.0,100.0,57.14,81.41,78.87,0.0,100.0,100.0,100.0,0.0,38.89,30.56,100.0,100.0
Grok43,Temperature,36.0,36.0,100.0,0.0,0.0,0.0,0.0,67.6,71.11,76.55,100.0,100.0,67.6,65.48,83.76,78.81,0.0,100.0,100.0,100.0,13.89,75.0,66.67,100.0,100.0
DeepSeekV4Pro,AirPassengers,36.0,36.0,100.0,0.0,0.0,0.0,0.0,81.94,57.78,75.0,100.0,100.0,78.71,64.28,81.26,78.68,0.0,100.0,100.0,100.0,16.67,41.67,30.56,100.0,100.0
Grok43,ILINet,36.0,28.0,77.78,3.0,8.33,4.0,1.0,86.58,68.89,65.13,100.0,100.0,87.04,71.82,78.53,78.51,0.0,100.0,100.0,100.0,25.0,75.0,44.44,100.0,100.0
DeepSeekV4Pro,IceCreamHeater,36.0,34.0,94.44,1.0,2.78,1.0,0.0,79.17,62.78,74.08,100.0,100.0,74.08,66.67,82.59,78.39,0.0,100.0,100.0,100.0,25.0,58.33,30.56,100.0,100.0
DeepSeekV4Pro,Temperature,36.0,36.0,100.0,0.0,0.0,0.0,0.0,74.54,62.78,75.31,100.0,100.0,71.3,64.29,82.69,78.16,0.0,100.0,100.0,100.0,22.22,55.56,36.11,100.0,100.0
DeepSeekV4Pro,ETTh1,36.0,36.0,100.0,0.0,0.0,0.0,0.0,65.74,62.22,77.78,100.0,100.0,66.67,58.73,84.19,76.44,0.0,100.0,100.0,100.0,16.67,55.56,38.89,100.0,100.0
Grok43,AirPassengers,36.0,35.0,97.22,0.0,0.0,1.0,0.0,66.67,69.44,70.99,100.0,100.0,66.67,63.89,79.33,76.37,0.0,100.0,100.0,100.0,19.44,72.22,55.56,100.0,100.0
