llm_version,dataset,total_runs,ok_runs,fail_runs,ok_rate_pct,fail_rate_pct,script_rows,list_rows,model_error_rows,text_rows,timeout_runs,timeout_rate_pct,length_mismatch_runs,length_mismatch_rate_pct,code_error_runs,code_error_rate_pct,model_output_issue_runs,model_output_issue_rate_pct,code_issue_runs,code_issue_rate_pct,runtime_infra_issue_runs,runtime_infra_issue_rate_pct
ClaudeOpus47,AirPassengers,36.0,34.0,2.0,94.44,5.56,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.56
ClaudeOpus47,ETTh1,4.0,0.0,4.0,0.0,100.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,100.0
ClaudeOpus47,ILINet,36.0,24.0,12.0,66.67,33.33,36.0,0.0,0.0,0.0,7.0,19.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,33.33
ClaudeOpus47,IceCreamHeater,36.0,33.0,3.0,91.67,8.33,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.33
ClaudeOpus47,Temperature,36.0,10.0,26.0,27.78,72.22,36.0,0.0,0.0,0.0,22.0,61.11,4.0,11.11,0.0,0.0,4.0,11.11,0.0,0.0,22.0,61.11
DeepSeekV4Pro,AirPassengers,36.0,29.0,7.0,80.56,19.44,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,19.44
DeepSeekV4Pro,ETTh1,36.0,4.0,32.0,11.11,88.89,36.0,0.0,0.0,0.0,12.0,33.33,0.0,0.0,1.0,2.78,0.0,0.0,1.0,2.78,31.0,86.11
DeepSeekV4Pro,ILINet,36.0,5.0,31.0,13.89,86.11,35.0,0.0,1.0,0.0,7.0,19.44,0.0,0.0,1.0,2.78,1.0,2.78,1.0,2.78,29.0,80.56
DeepSeekV4Pro,IceCreamHeater,36.0,31.0,5.0,86.11,13.89,34.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.78,0.0,0.0,4.0,11.11
DeepSeekV4Pro,Temperature,36.0,6.0,30.0,16.67,83.33,36.0,0.0,0.0,0.0,20.0,55.56,6.0,16.67,4.0,11.11,6.0,16.67,4.0,11.11,20.0,55.56
GPT55,AirPassengers,36.0,35.0,1.0,97.22,2.78,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.78,0.0,0.0,1.0,2.78,0.0,0.0
GPT55,ETTh1,4.0,0.0,4.0,0.0,100.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,100.0,0.0,0.0,4.0,100.0,0.0,0.0
GPT55,ILINet,36.0,24.0,12.0,66.67,33.33,36.0,0.0,0.0,0.0,9.0,25.0,0.0,0.0,3.0,8.33,0.0,0.0,3.0,8.33,9.0,25.0
GPT55,IceCreamHeater,36.0,32.0,4.0,88.89,11.11,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.78,0.0,0.0,1.0,2.78,3.0,8.33
GPT55,Temperature,36.0,7.0,29.0,19.44,80.56,36.0,0.0,0.0,0.0,26.0,72.22,0.0,0.0,3.0,8.33,0.0,0.0,3.0,8.33,26.0,72.22
Gemini31Pro,AirPassengers,36.0,29.0,7.0,80.56,19.44,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,19.44
Gemini31Pro,ETTh1,5.0,2.0,3.0,40.0,60.0,5.0,0.0,0.0,0.0,2.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,60.0
Gemini31Pro,ILINet,36.0,28.0,8.0,77.78,22.22,36.0,0.0,0.0,0.0,6.0,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,22.22
Gemini31Pro,IceCreamHeater,36.0,29.0,7.0,80.56,19.44,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,19.44
Gemini31Pro,Temperature,36.0,7.0,29.0,19.44,80.56,36.0,0.0,0.0,0.0,17.0,47.22,4.0,11.11,8.0,22.22,4.0,11.11,8.0,22.22,17.0,47.22
