llm_version,challenger_branch,n_pairs,mae_base_count,mae_base_mean,mae_base_std,mae_base_median,mae_base_q1,mae_base_q3,mae_base_iqr,mae_base_ci95_low,mae_base_ci95_high,mae_challenger_count,mae_challenger_mean,mae_challenger_std,mae_challenger_median,mae_challenger_q1,mae_challenger_q3,mae_challenger_iqr,mae_challenger_ci95_low,mae_challenger_ci95_high,mae_difference_count,mae_difference_mean,mae_difference_std,mae_difference_median,mae_difference_q1,mae_difference_q3,mae_difference_iqr,mae_difference_ci95_low,mae_difference_ci95_high,mae_mean_difference,mae_median_difference,mae_challenger_better_by_mean,rmse_base_count,rmse_base_mean,rmse_base_std,rmse_base_median,rmse_base_q1,rmse_base_q3,rmse_base_iqr,rmse_base_ci95_low,rmse_base_ci95_high,rmse_challenger_count,rmse_challenger_mean,rmse_challenger_std,rmse_challenger_median,rmse_challenger_q1,rmse_challenger_q3,rmse_challenger_iqr,rmse_challenger_ci95_low,rmse_challenger_ci95_high,rmse_difference_count,rmse_difference_mean,rmse_difference_std,rmse_difference_median,rmse_difference_q1,rmse_difference_q3,rmse_difference_iqr,rmse_difference_ci95_low,rmse_difference_ci95_high,rmse_mean_difference,rmse_median_difference,rmse_challenger_better_by_mean,smape_base_count,smape_base_mean,smape_base_std,smape_base_median,smape_base_q1,smape_base_q3,smape_base_iqr,smape_base_ci95_low,smape_base_ci95_high,smape_challenger_count,smape_challenger_mean,smape_challenger_std,smape_challenger_median,smape_challenger_q1,smape_challenger_q3,smape_challenger_iqr,smape_challenger_ci95_low,smape_challenger_ci95_high,smape_difference_count,smape_difference_mean,smape_difference_std,smape_difference_median,smape_difference_q1,smape_difference_q3,smape_difference_iqr,smape_difference_ci95_low,smape_difference_ci95_high,smape_mean_difference,smape_median_difference,smape_challenger_better_by_mean,mase_base_count,mase_base_mean,mase_base_std,mase_base_median,mase_base_q1,mase_base_q3,mase_base_iqr,mase_base_ci95_low,mase_base_ci95_high,mase_challenger_count,mase_challenger_mean,mase_challenger_std,mase_challenger_median,mase_challenger_q1,mase_challenger_q3,mase_challenger_iqr,mase_challenger_ci95_low,mase_challenger_ci95_high,mase_difference_count,mase_difference_mean,mase_difference_std,mase_difference_median,mase_difference_q1,mase_difference_q3,mase_difference_iqr,mase_difference_ci95_low,mase_difference_ci95_high,mase_mean_difference,mase_median_difference,mase_challenger_better_by_mean,r2_base_count,r2_base_mean,r2_base_std,r2_base_median,r2_base_q1,r2_base_q3,r2_base_iqr,r2_base_ci95_low,r2_base_ci95_high,r2_challenger_count,r2_challenger_mean,r2_challenger_std,r2_challenger_median,r2_challenger_q1,r2_challenger_q3,r2_challenger_iqr,r2_challenger_ci95_low,r2_challenger_ci95_high,r2_difference_count,r2_difference_mean,r2_difference_std,r2_difference_median,r2_difference_q1,r2_difference_q3,r2_difference_iqr,r2_difference_ci95_low,r2_difference_ci95_high,r2_mean_difference,r2_median_difference,r2_challenger_better_by_mean
ClaudeOpus47,ChalML,24,24,10.788874911877135,7.121763551877492,11.49637137855457,5.39857528495738,16.22563008789008,10.827054802932702,7.939576072638137,13.638173751116137,24,26.16969086739572,27.80375984363113,12.288475327757167,5.75633430480957,37.77528978058324,32.018955475773666,15.045870191258109,37.29351154353333,24,15.380815955518583,21.83336261559265,1.4953588819572037,0.11847246664127,24.68900159012788,24.570529123486608,6.645651651883135,24.11598025915404,15.380815955518583,1.4953588819572037,False,24,13.159657090459577,8.380371244687845,15.014304915841558,6.346583221469086,19.69479489000217,13.348211668533086,9.806810301045177,16.51250387987398,24,34.08291732456127,36.97973920142648,14.98290497237263,7.360139312379529,47.49490720389293,40.1347678915134,19.28794031999505,48.87789432912749,24,20.9232602341017,30.23738320110138,2.117307222722319,0.1194971021127518,31.121025152555987,31.001528050443238,8.825787434150337,33.020733034053066,20.9232602341017,2.117307222722319,False,24,13.759240022719483,11.471903367013455,10.458974324752395,4.154149606320374,26.704447368537195,22.55029776221682,9.169522783528604,18.348957261910364,24,17.970508393457596,10.65989280208732,14.60157400163366,10.40497541157876,22.21109647426008,11.80612106268132,13.705663040737011,22.23535374617818,24,4.21126837073811,5.342228860576163,3.5693483009649385,0.0857970101946379,8.998744836155517,8.91294782596088,2.0739316871331197,6.348605054343101,4.21126837073811,3.5693483009649385,False,24,1.7887905229891845,1.234554749311379,1.2575316316592116,0.847808581167006,3.388953014949017,2.5411444337820117,1.2948657544165791,2.282715291561789,24,2.558146585921901,1.0562723026546634,2.8475159453773813,1.4472442900006754,3.693491935357769,2.246247645357093,2.135549651335269,2.980743520508534,24,0.7693560629327166,1.0549171545392355,0.3525020983348721,0.1044057937391196,1.1722391425550094,1.0678333488158898,0.3473013005095037,1.1914108253559297,0.7693560629327166,0.3525020983348721,False,24,0.6503113222275719,0.4092749905436968,0.8646850433067462,0.4026332384274709,0.931475126572679,0.5288418881452079,0.4865672233128755,0.8140554211422684,24,0.3005656569876405,0.5155628074676791,0.2823218527504347,0.0614764049785319,0.7811750983831706,0.7196986934046387,0.0942975749077193,0.5068337390675617,24,-0.3497456652399313,0.6343256692738665,-0.1368044340089893,-0.3835814325534173,-0.0466768905837731,0.3369045419696442,-0.603528787916765,-0.0959625425630976,-0.3497456652399313,-0.1368044340089893,False
DeepSeekV4Pro,ChalML,16,16,12.48474714293133,5.904711593039778,13.008424846188102,6.5678397756659646,16.22563008789008,9.657790312224115,9.591438462341838,15.37805582352082,16,28.229004532958427,26.33536990324398,16.23878519484725,9.01397659004149,37.77528970153218,28.76131311149069,15.324673280368875,41.13333578554798,16,15.744257390027094,21.512791628212693,3.794078332892717,0.3941242148826163,24.689001511076818,24.2948772961942,5.2029894922028745,26.285525287851318,15.744257390027094,3.794078332892717,False,16,15.292896854453252,6.930538495091648,17.23978255624867,8.423773411799964,19.69479489000217,11.271021478202208,11.896932991858344,18.68886071704816,16,36.76799029736928,35.13835599489738,19.25662586929419,11.928450226532586,47.49490730893712,35.566457082404526,19.550195859869564,53.985784734869,16,21.475093442916037,29.82883360341853,4.257176073871478,1.3275757586598156,31.12102525760018,29.793449498940365,6.858964977240953,36.09122190859112,21.475093442916037,4.257176073871478,False,16,11.038076494408752,8.69307565331946,10.39279631914403,4.154149606320374,12.69079744490014,8.536647838579766,6.778469424282218,15.297683564535289,16,15.12666382117844,7.626712215639855,14.519069261491346,10.319678389688812,17.917062569495812,7.597384179806999,11.38957483551491,18.86375280684197,16,4.088587326769687,5.605136625062891,3.433046561956166,-0.0059401845084234,9.282787540181594,9.288727724690018,1.3420703804888707,6.835104273050504,4.088587326769687,3.433046561956166,False,16,1.5503298859807764,1.0784310996437807,1.2509367023024605,0.847808581167006,1.5359108095380023,0.6881022283709963,1.0218986471553235,2.078761124806229,16,2.369581138823755,1.0611430965414357,2.1653817073531423,1.3427415362203263,2.907328103370308,1.5645865671499812,1.8496210215184516,2.8895412561290583,16,0.8192512528429788,1.0702131593605309,0.6270024632958836,0.0918063823984729,1.3452560815503816,1.2534496991519086,0.2948468047563187,1.3436557009296388,0.8192512528429788,0.6270024632958836,False,16,0.6647275891973312,0.4580366087652382,0.8655234571251347,0.7597008946620079,0.931475126572679,0.1717742319106711,0.4402896509023645,0.8891655274922979,16,0.2715906663531305,0.6040065816577608,0.487932345814505,-0.1049410002509396,0.7996629031655819,0.9046039034165216,-0.0243725586591722,0.5675538913654333,16,-0.3931369228442006,0.6411152901553675,-0.16434999297093,-0.7385167688004824,-0.0624542874421495,0.6760624813583329,-0.7072834150203307,-0.0789904306680706,-0.3931369228442006,-0.16434999297093,False
GPT55,ChalML,24,24,11.597006440136823,6.6819264618811625,12.252398112371337,6.275523652988818,15.960811029974035,9.685287376985215,8.923679086169955,14.270333794103692,24,28.27309525403613,27.160598086507232,19.161906213045576,7.574785545067155,38.87776222313599,31.302976678068838,17.40659287197934,39.13959763609293,24,16.676088813899305,21.60917534473148,7.313534602182637,0.2836335109583005,25.79147403268062,25.50784052172232,8.030618098935232,25.32155952886338,16.676088813899305,7.313534602182637,False,24,14.230012527915257,7.874204120401152,16.127043736045113,7.904475864217244,19.31691472232715,11.412438858109908,11.079674764416325,17.380350291414185,24,36.81752316865022,36.261876544002405,24.738668332104048,9.846014896837293,49.23491242885211,39.38889753201482,22.3097510427116,51.32529529458884,24,22.58751064073497,30.044844317206383,9.647931026573104,0.7288176863960718,32.86103037751518,32.13221269111911,10.567069437577596,34.60795184389234,22.58751064073497,9.647931026573104,False,24,13.055951275649752,12.896902998537472,7.675912567886407,3.884210076992464,16.127780269082276,12.243570192089813,7.896115446247184,18.21578710505232,24,16.493534692584916,10.23695273655755,14.519069261491346,9.50104103650433,18.99057104568688,9.489530009182548,12.397900607411112,20.58916877775872,24,3.4375834169351625,5.504985429575432,2.3892146747828367,-0.2678022042353434,5.878078250877762,6.1458804551131045,1.2351305440955709,5.640036289774754,3.4375834169351625,2.3892146747828367,False,24,1.659211197184651,1.24876450287717,1.1500948146544885,0.7954867203508823,2.040102480901698,1.2446157605508157,1.159601343162922,2.15882105120638,24,2.4425381364101653,1.0414125404503762,2.382541626658662,1.4229105407453768,3.2048470424218483,1.7819365016764714,2.025886344889801,2.85918992793053,24,0.7833269392255143,1.0723180073675271,0.4956287359383045,0.1198813677103749,1.224584772896956,1.104703405186581,0.3543103857509335,1.2123434927000951,0.7833269392255143,0.4956287359383045,False,24,0.68619857031254,0.3961695125949346,0.8768066107990653,0.6547600178400659,0.9361356053547536,0.2813755875146878,0.5276977545867717,0.8446993860383082,24,0.3235373482053112,0.5307798467884322,0.4428653433294083,0.1223172299487437,0.7870086576380302,0.6646914276892865,0.1111811824425436,0.5358935139680788,24,-0.3626612221072287,0.6412572852749407,-0.1447523090419207,-0.4313611828750476,-0.0608453235451703,0.3705158593298773,-0.6192175687590011,-0.1061048754554563,-0.3626612221072287,-0.1447523090419207,False
Gemini31Pro,ChalML,24,24,10.037209098819494,7.542125467118578,9.083726455641628,4.248679103412717,15.960811029974035,11.71213192656132,7.019730466972672,13.054687730666316,24,25.17730569626239,27.905248816783168,10.615261350888092,6.351515770761191,37.77528978058324,31.423774009822047,14.012880974330336,36.341730418194444,24,15.140096597442897,21.48806184947184,2.574291639577136,0.0908130528741957,24.68900159012788,24.59818853725368,6.543081372322835,23.73711182256296,15.140096597442897,2.574291639577136,False,24,12.225820281982932,8.844450572785428,11.78611350150256,5.0761452673108565,19.31691472232715,14.240769455016297,8.687303092079782,15.764337471886082,24,33.067852375970524,36.792330322339446,13.833823294329912,9.529386687787463,47.49490720389293,37.96552051610546,18.34785453881923,47.78785021312181,24,20.842032093987594,29.535538260417763,5.08334658260882,0.0865119605983821,31.121025152555987,31.034513191957604,9.025355751296935,32.65870843667825,20.842032093987594,5.08334658260882,False,24,16.637784706723167,13.617320894970431,11.514834019158986,4.708175509845407,27.58868335102552,22.88050784118011,11.189721690175038,22.085847723271296,24,21.247449411270125,11.588057079492112,16.662483011924458,13.859568922154317,28.957447348695226,15.097878426540904,16.611261008619813,25.88363781392044,24,4.609664704546958,4.96460696186495,3.466772603010288,2.7171149593549244,9.181540906715057,6.464425947360132,2.623408245640727,6.595921163453189,4.609664704546958,3.466772603010288,False,24,2.0338458799938786,1.3364879732769344,1.39041859753952,0.9939456435290752,3.570717736160697,2.576772092631621,1.4991393282843737,2.568552431703384,24,2.9210543991504587,0.9987550712316604,2.8624490006793404,2.03650225114596,3.793470118004554,1.7569678668585935,2.5214691497364683,3.320639648564449,24,0.8872085191565805,0.9707171192858048,0.6462566496821827,0.4031400609062801,1.1722391425550094,0.7690990816487293,0.4988407867735936,1.2755762515395674,0.8872085191565805,0.6462566496821827,False,24,0.5983404297859117,0.4061339562150807,0.8135679511323733,0.2910334559504726,0.8995649153617079,0.6085314594112353,0.4358530063282623,0.7608278532435612,24,0.1775535031140971,0.4321820717061441,0.224227794597928,-0.0140540403736827,0.4689194524631251,0.4829734928368079,0.0046446630097963,0.3504623432183978,24,-0.4207869266718146,0.5898577488103167,-0.2381995690483635,-0.523324581381224,-0.1015536751405642,0.4217709062406596,-0.6567791758891157,-0.1847946774545136,-0.4207869266718146,-0.2381995690483635,False
Grok43,ChalML,19,19,12.24504302766621,5.533060596286684,13.008424846188102,6.02067906159911,15.329068497912804,9.308389436313693,9.75707555946131,14.73301049587111,19,27.4876921994791,24.074494438261624,26.035337098333983,7.526152091118219,30.480995967470367,22.954843876352147,16.662479293610666,38.31290510534753,19,15.242649171812886,19.559995021860484,13.02691225214588,0.2619872542777068,18.9846245889158,18.72263733463809,6.447402771421357,24.037895572204413,15.242649171812886,13.02691225214588,False,19,15.092288121140786,6.592155323205156,17.23978255624867,7.44243478456035,18.93834847716184,11.495913692601489,12.128093584667578,18.056482657613994,19,35.64118494608026,32.02672766836833,34.54519917741978,10.090587326579586,36.54879478523569,26.458207458656105,21.240211892318023,50.042157999842495,19,20.548896824939472,26.94586868104743,17.305416621171112,1.1044392311698177,21.534489869394136,20.43005063822432,8.4325565979846,32.665237051894344,20.548896824939472,17.305416621171112,False,19,9.44586015289884,8.373830659568357,4.892850811020417,2.990891995661545,10.39279631914403,7.4019043234824835,5.680526680996378,13.211193624801302,19,12.720585407873724,6.508828317501706,10.40497502703757,7.006263288794157,17.294942446523134,10.288679157728977,9.793859262683316,15.647311553064132,19,3.274725254974883,4.845408605072844,2.8114815651214227,-0.228074742188995,4.4107145301556425,4.638789272344638,1.0959638317452614,5.453486678204505,3.274725254974883,2.8114815651214227,False,19,1.3574847763114903,1.0308216384017193,1.042657997649765,0.6176428290151785,1.2509397992636746,0.6332969702484961,0.8939708390908632,1.8209987135321173,19,2.069148565367204,0.947959732278082,1.4472442900006754,1.3119665038951287,2.8475159453773813,1.5355494414822526,1.6428938851529815,2.495403245581426,19,0.7116637890557133,0.968189149828601,0.6185206150539904,0.0610267046314541,0.9013940871038736,0.8403673824724196,0.2763128533621635,1.147014724749263,0.7116637890557133,0.6185206150539904,False,19,0.7289913092922597,0.4187341904226145,0.8889281782913843,0.8655210518735972,0.9513128684301208,0.0857918165565235,0.5407054545709604,0.9172771640135592,19,0.4250929747743818,0.5226679735624447,0.7811750983831706,0.0337860927726168,0.8045093354026089,0.7707232426299921,0.1900727915924653,0.6601131579562983,19,-0.303898334517878,0.570541781114209,-0.1468035330275118,-0.223962964083312,-0.0511167379682848,0.1728462261150271,-0.56044520689742,-0.047351462138336,-0.303898334517878,-0.1468035330275118,False
KimiK26,ChalML,13,13,31.942196147537576,29.20958163150714,23.04495042084073,21.95984081014988,25.381825,3.421984189850121,16.063686698136795,47.82070559693835,13,56.15062188440944,31.08643012680225,32.82601192079741,30.480995967470367,77.79012400696496,47.3091280394946,39.25184597095594,73.04939779786294,13,24.208425736871853,28.91307623893392,18.9846245889158,3.4917000000000016,55.83028319681508,52.33858319681508,8.491098454924431,39.92575301881927,24.208425736871853,18.9846245889158,False,13,38.88390358982314,36.361879926197226,27.105111284907498,26.03914002066169,29.91882175696429,3.879681736302601,19.11736049824692,58.650446681399366,13,70.48116249632116,40.99024524160718,40.28739856689445,35.76951145878288,101.90508797688334,66.13557651810046,48.19861135905819,92.76371363358412,13,31.597258906498016,37.73489541409384,21.534489869394136,4.221666259461465,75.86594795622165,71.64428169676017,11.084336093576391,52.11018171941964,31.597258906498016,21.534489869394136,False,13,22.545585103331742,23.75139582833708,5.5765260968424855,4.892850811020417,50.63412893047434,45.74127811945392,9.634179255262111,35.45699095140138,13,30.481808477547364,24.59721130647064,17.93906393376679,17.917062569495812,47.60979143239826,29.69272886290245,17.110612098020532,43.8530048570742,13,7.936223374215624,8.166234752911963,4.790456041174014,1.5606823879100349,13.024211758475396,11.46352937056536,3.4970075947513037,12.375439153679944,7.936223374215624,4.790456041174014,False,13,2.9447993304225824,2.427376743610828,1.094179236974529,1.042657997649765,5.625445103857566,4.582787106207801,1.625262301548968,4.2643363592961965,13,4.282618667095848,2.0011644107926267,3.896652256961898,3.693491935357769,6.027262611275964,2.3337706759181955,3.194773301577145,5.370464032614551,13,1.3378193366732662,1.274155985314243,0.9013940871038736,0.8133485163204739,2.650833937708004,1.8374854213875305,0.6451802530994127,2.03045842024712,1.3378193366732662,0.9013940871038736,False,13,-0.3000317050540707,1.4106993918041555,0.8796480835177491,-1.6757161330419024,0.8889281782913843,2.564644311333286,-1.0668966299136755,0.4668332198055342,13,-1.1426498851666165,1.371572249270776,-0.7694720324370912,-2.1349378820041527,-0.7011490128783204,1.4337888691258325,-1.888245053058043,-0.3970547172751895,13,-0.8426181801125454,0.8666544977207215,-0.8603834947750335,-1.5900771911697047,-0.181896451237227,1.4081807399324775,-1.313736931658804,-0.371499428566287,-0.8426181801125454,-0.8603834947750335,False
ClaudeOpus47,ChalDL,24,24,10.788874911877135,7.121763551877492,11.49637137855457,5.39857528495738,16.22563008789008,10.827054802932702,7.939576072638137,13.638173751116137,24,41.6364260877555,35.81544202613874,38.78011797666549,7.66691062450409,66.39969855830813,58.73278793380404,27.307264967964343,55.96558720754666,24,30.84755117587836,29.96424132651652,30.61323992241625,1.3139556537182295,48.90953653589295,47.59558088217472,18.8593578852133,42.835744466543424,30.84755117587836,30.61323992241625,False,24,13.159657090459577,8.380371244687845,15.014304915841558,6.346583221469086,19.69479489000217,13.348211668533086,9.806810301045177,16.51250387987398,24,52.08037514460424,45.71099046428555,42.44069717603519,10.412517648794754,82.01750487330372,71.60498722450896,33.792170106398814,70.36858018280967,24,38.920718054144665,38.76346136261981,34.96283604340722,2.640388525296219,61.56489141548062,58.92450289018441,23.41210355706815,54.42933255122118,38.920718054144665,34.96283604340722,False,24,13.759240022719483,11.471903367013455,10.458974324752395,4.154149606320374,26.704447368537195,22.55029776221682,9.169522783528604,18.348957261910364,24,37.021735281132784,34.41964447276221,16.850900463057684,12.924355207802773,58.427735135350936,45.50337992754817,23.251009487041244,50.79246107522432,24,23.2624952584133,29.175780339142197,9.598870276805853,5.525596246299385,28.84955378388237,23.323957537582984,11.589752060937393,34.935238455889206,23.2624952584133,9.598870276805853,False,24,1.7887905229891845,1.234554749311379,1.2575316316592116,0.847808581167006,3.388953014949017,2.5411444337820117,1.2948657544165791,2.282715291561789,24,5.964358906083315,6.957899221214761,3.289564390043376,2.013530186405978,5.945240083290181,3.931709896884203,3.1806194530481604,8.748098359118469,24,4.175568383094131,6.27564558013382,2.042858685606379,0.8360652354174283,3.0682561523660263,2.232190916948598,1.6647872350403352,6.686349531147926,4.175568383094131,2.042858685606379,False,24,0.6503113222275719,0.4092749905436968,0.8646850433067462,0.4026332384274709,0.931475126572679,0.5288418881452079,0.4865672233128755,0.8140554211422684,24,-6.77508453080517,19.52729952916168,-0.0397767102489528,-0.9066804204976638,0.578110017278926,1.48479043777659,-14.587631447958104,1.0374623863477614,24,-7.42539585303274,19.225730014687336,-0.714890159866802,-1.7956085987890482,-0.1998246604145974,1.5957839383744508,-15.117289836220309,0.2664981301548268,-7.42539585303274,-0.714890159866802,False
DeepSeekV4Pro,ChalDL,16,16,12.14323025513789,6.272091181557723,12.252398112371337,6.268448979366857,17.856038626157734,11.587589646790876,9.069905576174603,15.216554934101175,16,147.75899678127524,185.87638126161812,39.30349585605468,14.26058514341712,404.2249818341485,389.9643966907314,56.67956996308236,238.8384235994681,16,135.61576652613735,181.6422898044431,33.93321926558515,-0.3250657763321538,390.1127430976952,390.4378088740273,46.61104452196024,224.62048853031445,135.61576652613735,33.93321926558515,False,16,14.673996209628442,7.304614003785127,16.127043736045113,7.899566929339257,20.45261345782309,12.553046528483836,11.09473534777373,18.253257071483155,16,153.51324723103428,187.1772895327329,42.993573265039046,17.646344959450662,411.49041658011936,393.8440716206687,61.79637535999514,245.23011910207344,16,138.83925102140586,182.3458428191475,36.66662578308191,-0.1617172604696048,393.56912150865617,393.7308387691258,49.48978804002358,228.1887140027881,138.83925102140586,36.66662578308191,False,16,10.071812882663496,7.511545574605776,10.39279631914403,4.154149606320374,12.636871719173945,8.48272211285357,6.3911555511066656,13.752470214220326,16,88.04950196198601,72.80290872976661,104.930560322151,13.27042001214699,169.14280487864386,155.87238486649687,52.37607668440037,123.72292723957165,16,77.97768907932252,77.06894015380422,94.53769702611852,-0.6449854943608222,165.97293060690987,166.61791610127068,40.21390840395845,115.7414697546866,77.97768907932252,94.53769702611852,False,16,1.4145885962328144,0.9107718130553144,1.2509367023024605,0.847808581167006,1.5298973958153654,0.6820888146483595,0.9683104078357104,1.8608667846299185,16,9.341781640560622,7.765437146459389,9.063192242432162,2.449957635171633,19.192689683087437,16.7427320479158,5.536717438795522,13.146845842325725,16,7.927193044327809,8.221332175322075,7.812255540129701,-0.0757200695610506,18.52263753150239,18.59835760106344,3.898740278419992,11.955645810235628,7.927193044327809,7.812255540129701,False,16,0.7344491025406119,0.3851468191231086,0.8655234571251347,0.7616148503911495,0.931475126572679,0.1698602761815294,0.5457271611702887,0.9231710439109352,16,-9.87002163639372,12.872302660004074,-5.085956969248926,-26.7412079080901,0.1809294492551653,26.922137357345264,-16.177449939795714,-3.562593332991724,16,-10.604470738934332,13.024932581307963,-5.951480426374061,-27.685743614878245,0.0078454826251503,27.693589097503395,-16.986687703775235,-4.222253774093429,-10.604470738934332,-5.951480426374061,False
GPT55,ChalDL,23,23,11.1464484240493,6.448572267249256,11.49637137855457,5.983207530311672,15.329068497912804,9.345860967601132,8.510992699141346,13.781904148957254,23,161.4688995748862,189.10347039308863,41.17439534492616,12.132733090894494,404.7885181821626,392.6557850912681,84.18453289754463,238.75326625222775,23,150.32245115083694,184.8664631269509,33.10990383338979,0.7026137712174929,391.7628170637015,391.060203292484,74.76969956490578,225.8752027367681,150.32245115083694,33.10990383338979,False,23,13.71657220214367,7.629346176493832,15.014304915841558,7.385178316634525,18.93834847716184,11.553170160527314,10.598548052788487,16.834596351498853,23,167.31371654289174,190.6327609474036,50.34457809631123,14.862186315094249,412.0450294183391,397.18284310324486,89.40434678279243,245.22308630299105,23,153.59714434074803,185.73646995620635,35.85735378204946,0.6416929286770612,395.2622276607227,394.62053473204566,77.68883118493027,229.50545749656575,153.59714434074803,35.85735378204946,False,23,13.410868687155377,13.066367347041576,10.458974324752395,3.6142705476645536,19.61868881899061,16.004418271326053,8.070797861958553,18.7509395123522,23,91.49026746243943,70.1423106940665,89.05336198304248,21.18906893222468,169.527213835618,148.33814490339333,62.82392914507362,120.15660577980528,23,78.07939877528408,76.42530065861034,62.45285606423521,6.855338600983585,166.9316650769795,160.07632647599593,46.845276274790905,109.31352127577723,78.07939877528408,62.45285606423521,False,23,1.6860178580339942,1.2697499475288123,1.2575316316592116,0.7431648595347586,2.550307565988031,1.8071427064532728,1.1670859720703697,2.204949743997619,23,10.570726178224753,8.194318184296018,8.970075996410245,2.974568482187818,19.39453834575109,16.419969863563274,7.221804606825145,13.919647749624357,23,8.884708320190757,8.640033910229977,7.712544364751033,1.446340467575367,18.673596308043027,17.22725584046766,5.353627968070031,12.415788672311484,8.884708320190757,7.712544364751033,False,23,0.6773842395308511,0.4026599220720801,0.8646850433067462,0.5479051852889822,0.9407960841368284,0.3928908988478462,0.5128218600092018,0.8419466190525005,23,-12.52896427338405,15.600962795125694,-4.983727075037401,-27.320520168718023,0.1016498621868725,27.42217003090489,-18.90489448064969,-6.153034066118409,23,-13.206348512914898,15.643280025360388,-5.848412118344148,-28.246520032673917,-0.4218174791142247,27.82470255355969,-19.599573275015675,-6.813123750814122,-13.206348512914898,-5.848412118344148,False
Gemini31Pro,ChalDL,23,23,10.067635865573497,7.273201795536419,9.402531804922544,5.370276590469533,15.329068497912804,9.95879190744327,7.095163740571821,13.040107990575171,23,163.3836439141801,191.5296102393884,39.78518989086151,5.163923647118901,403.3197447349285,398.1558210878096,85.10774238503399,241.65954544332624,23,153.31600804860656,186.03821282992,34.41491330039197,0.5422631197922376,390.8885597457967,390.34629662600446,77.28437612531253,229.3476399719006,153.31600804860656,34.41491330039197,False,23,12.30555551963124,8.56032208069297,11.332522190425184,6.326947481957138,18.93834847716184,12.6114009952047,8.807052455751995,15.804058583510487,23,179.81208967493947,208.6538626074168,43.389896239130834,6.992912371558047,416.2394487320543,409.2465363604962,94.53770738637093,265.086471963508,23,167.50653415530823,202.0606315941368,37.0629487571737,0.7254370674752483,394.4351589063516,393.7097218388764,84.92672792163461,250.08634038898185,167.50653415530823,37.0629487571737,False,23,21.89495524683591,30.64972766573632,12.636871719173945,4.892850811020417,28.576860783243763,23.684009972223347,9.36877163658526,34.42113885708656,23,91.9071376436342,65.92048387493699,108.84800597114688,36.722463843557534,168.29495860587218,131.57249476231465,64.96621034733319,118.8480649399352,23,70.01218239679827,81.09387412251144,86.58626193380142,3.544397451469384,165.69940984723365,162.15501239576426,36.87006877010191,103.15429602349462,70.01218239679827,86.58626193380142,False,23,2.538209935605079,2.8734540789719123,1.5298973958153654,1.042657997649765,3.570717736160697,2.528059738510932,1.363863012155469,3.712556859054689,23,15.681275817020849,21.45173802483057,7.518390116736516,4.346720552517169,19.412503041304632,15.065782488787464,6.914202510904149,24.448349123137547,23,13.14306588141577,21.642151515991028,4.1371691526783865,0.6652539188167885,18.57386378834255,17.908609869525762,4.298172818524819,21.98795894430672,13.14306588141577,4.1371691526783865,False,23,0.1438241525631844,2.2083335444268988,0.7616148503911495,0.2476374394156165,0.8889281782913843,0.6412907388757678,-0.7586958225519811,1.0463441276783498,23,-77.28819412912947,224.18737297211163,-1.52440417180081,-27.38455230076944,0.1223777440288815,27.506930044798324,-168.91093960910797,14.334551350849026,23,-77.43201828169266,224.11578849972443,-1.6542750338048813,-28.310552164725333,-0.1380121073877456,28.17254005733759,-169.02550802881296,14.161471465427638,-77.43201828169266,-1.6542750338048813,False
